sector,size_band,ai_readiness_band,population,funded_companies,avg_funding_usd,avg_bench_match,combined_score
Advertising,11-50,1,1,1,19711000,0.694,0.686
Apps,1-10,2,1,1,200000,0.694,0.686
Analytics,1-10,1,5,1,100000,0.4,0.662
Artificial Intelligence (AI),201-1000,2,1,1,102150000,0.528,0.644
Analytics,51-200,2,1,1,0,0.472,0.63
Advertising,1-10,1,3,1,290998,0.361,0.628
Artificial Intelligence (AI),1-10,1,4,2,805000,0.271,0.618
Artificial Intelligence (AI),51-200,2,1,1,0,0.333,0.596
Artificial Intelligence (AI),1-10,2,3,1,25000,0.204,0.588
Unclassified,unknown,0,46,1,0,0.111,0.578
Advertising,1-10,0,19,1,11753,0.161,0.578
Consulting,1-10,0,30,1,68500,0.108,0.577
Data Center,51-200,1,1,1,8413884,0.25,0.575
Automotive,1-10,1,1,1,55463089,0.25,0.575
Data Integration,unknown,1,1,1,0,0.25,0.575
Marketplace,11-50,1,1,1,0,0.139,0.547
Unclassified,1-10,0,14,1,38500,0.28,0.545
Health Care,11-50,0,15,2,520000,0.124,0.518
Banking,51-200,0,6,1,0,0.435,0.484
E-Commerce,1-10,0,9,2,154951,0.262,0.478
Information Technology,11-50,0,7,1,0,0.293,0.461
EdTech,51-200,0,2,2,9761186,0.541,0.46
Cryptocurrency,11-50,0,1,1,300000,0.583,0.458
Broadcasting,1000+,0,1,1,0,0.583,0.458
Android,1-10,0,2,1,0,0.514,0.454
Apps,1-10,0,9,3,68301,0.157,0.452
Finance,1-10,0,7,1,0,0.25,0.45
Communities,11-50,0,2,1,113740,0.5,0.45
Heating,51-200,0,1,1,0,0.528,0.445
Document Management,1-10,0,1,1,457000,0.528,0.445
Fashion,1-10,0,1,1,100207000,0.528,0.445
Energy,1-10,0,1,1,12968281,0.528,0.445
Android,11-50,0,1,1,709996,0.528,0.445
Education,51-200,0,3,1,828799,0.426,0.444
Corporate Training,11-50,0,2,1,1073465,0.445,0.436
Cloud Infrastructure,1-10,0,2,1,1350000,0.43,0.433
Electric Vehicle,11-50,0,1,1,0,0.472,0.43
Education,1-10,0,7,1,0,0.155,0.426
Automotive,1-10,0,2,1,44533,0.402,0.426
Biotechnology,1-10,0,4,3,1724710,0.292,0.423
Software,1-10,0,5,2,83526,0.239,0.422
Consumer,11-50,0,2,2,41560344,0.375,0.419
E-Commerce,unknown,0,5,1,0,0.211,0.415
E-Commerce,51-200,0,5,1,1569929,0.205,0.414
Business Development,11-50,0,4,1,1126017,0.257,0.414
Energy,51-200,0,4,2,288425000,0.25,0.412
Coworking,51-200,0,1,1,0,0.389,0.41
Energy Storage,11-50,0,1,1,42801978,0.389,0.41
Home and Garden,11-50,0,2,1,0,0.334,0.408
Communities,1-10,0,2,2,552910,0.333,0.408
Developer Platform,1-10,0,1,1,0,0.361,0.403
Electronics,201-1000,0,2,1,7029680,0.305,0.401
Financial Services,unknown,0,2,1,5175000,0.305,0.401
3D Technology,11-50,0,4,1,4100000,0.201,0.4
Accounting,11-50,0,4,1,125000,0.195,0.399
Developer APIs,1-10,0,1,1,500000,0.333,0.396
Apps,51-200,0,1,1,74608935,0.333,0.396
Agriculture,1-10,0,1,1,1096467,0.333,0.396
Communities,51-200,0,2,1,0,0.264,0.391
Food and Beverage,1-10,0,2,1,2784,0.264,0.391
Consumer,1-10,0,2,2,1849454,0.264,0.391
Energy,11-50,0,2,1,24500000,0.264,0.391
Health Care,51-200,0,3,1,13088935,0.204,0.388
Manufacturing,1000+,0,2,1,0,0.236,0.384
Film,1-10,0,1,1,4000000,0.278,0.382
Agriculture,11-50,0,3,1,0,0.176,0.381
Big Data,1-10,1,1,0,0,0.667,0.379
Electronics,1000+,0,3,1,0,0.157,0.377
Finance,11-50,0,3,1,0,0.157,0.377
Beauty,1-10,0,2,1,0,0.208,0.377
Finance,201-1000,0,2,1,127305989,0.208,0.377
Food and Beverage,51-200,0,4,1,0,0.09,0.373
Food and Beverage,unknown,0,4,1,0,0.062,0.366
Asset Management,1-10,0,3,1,48173,0.111,0.365
Analytics,11-50,1,4,0,0,0.451,0.363
Apps,11-50,0,3,1,575000,0.102,0.363
Biotechnology,11-50,0,3,2,29493815,0.093,0.361
Hardware,1-10,0,1,1,29703535,0.194,0.361
